                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    272,                 1.1123,                0.84698,                 1.3572,                0.89564,                 0.8871,                 0.9248,                0.63664,                 1.1673,                0.86356,                 1.5184,              0.0014634,              0.0014634,              0.0014634
                    273,                 1.2182,                0.84133,                 1.4561,                0.89564,                 0.8871,                 0.9248,                0.63664,                 1.1673,                0.86356,                 1.5184,              0.0014614,              0.0014614,              0.0014614
                    274,                 1.2172,                0.85571,                 1.4421,                0.91835,                0.90706,                 0.9261,                 0.6659,                 1.0205,                0.83204,                 1.3788,              0.0014595,              0.0014595,              0.0014595
                    275,                 1.1874,                 0.9007,                 1.3592,                0.94911,                0.90245,                 0.9335,                0.67974,                0.92465,                0.76328,                 1.3177,              0.0014575,              0.0014575,              0.0014575
                    276,                  1.026,                0.77763,                 1.3393,                0.94613,                0.90323,                0.94337,                 0.6882,                0.87101,                0.71027,                 1.2898,              0.0014555,              0.0014555,              0.0014555
                    277,                   1.14,                0.90337,                  1.481,                0.94613,                0.90323,                0.94337,                 0.6882,                0.87101,                0.71027,                 1.2898,              0.0014535,              0.0014535,              0.0014535
                    278,                 1.0052,                0.79567,                 1.4152,                0.96443,                0.87461,                0.95702,                0.69929,                0.85797,                0.70286,                 1.2821,              0.0014515,              0.0014515,              0.0014515
                    279,                 1.0612,                0.87738,                 1.3559,                0.96531,                0.89778,                0.95823,                0.72121,                0.83047,                0.66838,                 1.2473,              0.0014496,              0.0014496,              0.0014496
                    280,                 1.0857,                0.80431,                 1.3325,                0.98056,                0.87097,                0.95221,                0.74058,                0.81769,                0.66146,                 1.2255,              0.0014476,              0.0014476,              0.0014476
                    281,                 1.1066,                0.91527,                 1.3989,                0.98056,                0.87097,                0.95221,                0.74058,                0.81769,                0.66146,                 1.2255,              0.0014456,              0.0014456,              0.0014456
                    282,                 1.0881,                0.88263,                 1.3224,                0.93376,                0.90954,                0.95711,                0.72475,                0.82225,                 0.6493,                 1.2231,              0.0014436,              0.0014436,              0.0014436
                    283,                 1.0868,                0.86232,                  1.423,                0.90365,                0.93548,                0.95882,                0.72615,                0.81669,                0.64809,                 1.2378,              0.0014416,              0.0014416,              0.0014416
                    284,                 1.0326,                0.77389,                 1.3147,                0.90532,                0.93548,                0.94589,                0.72691,                0.75827,                0.64877,                 1.2353,              0.0014397,              0.0014397,              0.0014397
                    285,                 1.0984,                0.84151,                 1.4206,                0.90532,                0.93548,                0.94589,                0.72691,                0.75827,                0.64877,                 1.2353,              0.0014377,              0.0014377,              0.0014377
                    286,                0.94977,                0.79539,                 1.3202,                0.89994,                0.93548,                0.96172,                0.74412,                0.67775,                0.59284,                 1.1783,              0.0014357,              0.0014357,              0.0014357
                    287,                 1.0592,                 0.8079,                 1.3042,                0.91925,                0.93548,                0.96675,                0.73378,                0.68085,                0.54322,                  1.149,              0.0014337,              0.0014337,              0.0014337
                    288,                0.91403,                0.71176,                  1.322,                0.93144,                0.91935,                0.97053,                0.71914,                0.69889,                0.53475,                  1.138,              0.0014317,              0.0014317,              0.0014317
                    289,                0.97701,                0.80593,                 1.3228,                0.93144,                0.91935,                0.97053,                0.71914,                0.69889,                0.53475,                  1.138,              0.0014298,              0.0014298,              0.0014298
                    290,                0.98743,                0.73085,                 1.2294,                0.92025,                0.93068,                0.97313,                0.70474,                0.69526,                0.54521,                 1.1362,              0.0014278,              0.0014278,              0.0014278
                    291,                 1.0195,                0.77169,                 1.2656,                0.98208,                0.88408,                 0.9717,                0.71913,                0.69349,                0.53915,                 1.1446,              0.0014258,              0.0014258,              0.0014258
                    292,                 1.0382,                0.81308,                 1.3195,                0.93507,                0.91935,                0.96028,                0.74605,                0.73216,                0.53364,                 1.1639,              0.0014238,              0.0014238,              0.0014238
                    293,                 1.0034,                 0.7767,                 1.3002,                0.93507,                0.91935,                0.96028,                0.74605,                0.73216,                0.53364,                 1.1639,              0.0014218,              0.0014218,              0.0014218
                    294,                 1.0799,                0.75732,                 1.3482,                 0.9515,                0.91935,                0.96008,                0.74469,                0.72114,                0.54993,                 1.1606,              0.0014199,              0.0014199,              0.0014199
                    295,                  1.041,                0.85116,                 1.4075,                0.99492,                0.90323,                0.96249,                0.74551,                 0.7146,                0.56035,                 1.1573,              0.0014179,              0.0014179,              0.0014179
                    296,                0.95892,                0.77763,                 1.3477,                0.98268,                0.91511,                0.96485,                0.76273,                0.66771,                 0.5495,                 1.1288,              0.0014159,              0.0014159,              0.0014159
                    297,                 1.0727,                0.81228,                 1.3791,                0.98268,                0.91511,                0.96485,                0.76273,                0.66771,                 0.5495,                 1.1288,              0.0014139,              0.0014139,              0.0014139
                    298,                 1.0119,                 0.8922,                 1.4403,                0.94791,                0.91935,                0.97216,                0.77357,                0.64695,                0.55062,                 1.1301,              0.0014119,              0.0014119,              0.0014119
                    299,                0.91356,                0.73657,                 1.3318,                0.96487,                0.88613,                0.96538,                0.75385,                0.73776,                0.60443,                 1.2259,                0.00141,                0.00141,                0.00141
                    300,                0.94867,                0.83645,                 1.3104,                0.96427,                0.85484,                0.95628,                0.74056,                0.81172,                0.61699,                 1.2631,               0.001408,               0.001408,               0.001408
                    301,                 1.0475,                0.81011,                 1.4361,                0.96427,                0.85484,                0.95628,                0.74056,                0.81172,                0.61699,                 1.2631,               0.001406,               0.001406,               0.001406
                    302,                 1.1118,                0.83808,                 1.3894,                0.93434,                0.91809,                0.97448,                0.75361,                0.78532,                0.56818,                 1.2271,               0.001404,               0.001404,               0.001404
                    303,                  1.008,                0.80327,                 1.2991,                0.95069,                0.93289,                0.97926,                0.76526,                0.71744,                0.54179,                 1.1784,               0.001402,               0.001402,               0.001402
                    304,                0.90536,                0.74412,                 1.3002,                0.93216,                0.95161,                0.97582,                0.75813,                0.65609,                0.55105,                 1.1486,              0.0014001,              0.0014001,              0.0014001
                    305,                0.98416,                0.72855,                 1.3309,                0.93216,                0.95161,                0.97582,                0.75813,                0.65609,                0.55105,                 1.1486,              0.0013981,              0.0013981,              0.0013981
                    306,                 1.1064,                0.78631,                 1.3807,                0.88174,                0.96207,                0.96509,                0.74503,                0.69682,                0.58739,                 1.1626,              0.0013961,              0.0013961,              0.0013961
                    307,                0.99693,                0.78173,                 1.3444,                0.89256,                0.93548,                0.95829,                 0.7288,                0.77537,                   0.62,                 1.2244,              0.0013941,              0.0013941,              0.0013941
                    308,                 1.0799,                0.80691,                 1.3466,                0.91718,                0.90323,                0.94593,                0.71667,                0.79467,                0.66303,                 1.2613,              0.0013921,              0.0013921,              0.0013921
                    309,                0.94447,                0.70898,                 1.2856,                0.91718,                0.90323,                0.94593,                0.71667,                0.79467,                0.66303,                 1.2613,              0.0013902,              0.0013902,              0.0013902
                    310,                0.86461,                0.73451,                 1.2765,                0.93958,                0.87097,                0.91454,                0.70185,                0.80499,                0.78493,                 1.2778,              0.0013882,              0.0013882,              0.0013882
                    311,                0.96488,                0.70982,                   1.26,                0.95623,                0.87097,                0.90736,                0.71579,                0.77459,                0.86162,                 1.2432,              0.0013862,              0.0013862,              0.0013862
                    312,                 1.0321,                0.77881,                 1.3765,                0.94556,                0.84044,                0.87717,                0.68219,                0.80427,                 1.2298,                 1.2381,              0.0013842,              0.0013842,              0.0013842
                    313,                 1.0328,                0.80086,                 1.3801,                0.94556,                0.84044,                0.87717,                0.68219,                0.80427,                 1.2298,                 1.2381,              0.0013822,              0.0013822,              0.0013822
                    314,                 1.0884,                0.81335,                 1.3748,                0.94334,                0.85484,                0.89051,                0.70669,                0.72549,                 1.1795,                 1.1815,              0.0013803,              0.0013803,              0.0013803
                    315,                0.90389,                0.79443,                 1.3055,                0.98169,                0.86461,                0.94559,                0.73699,                0.67777,                0.62727,                 1.1377,              0.0013783,              0.0013783,              0.0013783
                    316,                0.98034,                0.83846,                 1.3179,                 0.9442,                0.91935,                0.96146,                0.73537,                0.76286,                0.55727,                  1.174,              0.0013763,              0.0013763,              0.0013763
                    317,                0.98333,                0.76659,                 1.3234,                 0.9442,                0.91935,                0.96146,                0.73537,                0.76286,                0.55727,                  1.174,              0.0013743,              0.0013743,              0.0013743
                    318,                0.93693,                0.76108,                 1.3088,                0.94852,                0.93548,                0.97608,                 0.7536,                0.72985,                0.50062,                 1.1323,              0.0013723,              0.0013723,              0.0013723
                    319,                0.95235,                 0.7053,                 1.3234,                0.95145,                0.94824,                0.98085,                0.79202,                0.63213,                0.48339,                 1.0731,              0.0013704,              0.0013704,              0.0013704
                    320,                 1.0011,                0.80053,                 1.3195,                 0.9514,                0.94732,                0.98176,                0.78867,                0.59414,                0.49571,                 1.0585,              0.0013684,              0.0013684,              0.0013684
                    321,                0.94908,                0.75774,                 1.2673,                 0.9514,                0.94732,                0.98176,                0.78867,                0.59414,                0.49571,                 1.0585,              0.0013664,              0.0013664,              0.0013664
                    322,                 0.9017,                0.68334,                 1.2822,                 0.9956,                0.90323,                0.98203,                0.77818,                0.62488,                0.50443,                 1.0731,              0.0013644,              0.0013644,              0.0013644
                    323,                0.94746,                0.76405,                 1.3189,                 0.9685,                0.91935,                0.98197,                0.76981,                0.62584,                0.50613,                 1.0696,              0.0013624,              0.0013624,              0.0013624
                    324,                 1.0143,                0.73832,                 1.3332,                0.93714,                0.96187,                0.97829,                 0.7372,                0.63272,                0.50375,                 1.0643,              0.0013605,              0.0013605,              0.0013605
                    325,                0.93175,                0.69682,                 1.2648,                0.93714,                0.96187,                0.97829,                 0.7372,                0.63272,                0.50375,                 1.0643,              0.0013585,              0.0013585,              0.0013585
                    326,                 1.0065,                0.75266,                 1.3428,                0.95198,                0.95927,                 0.9798,                 0.7147,                0.65906,                0.49315,                 1.0657,              0.0013565,              0.0013565,              0.0013565
                    327,                0.87729,                0.71354,                 1.2924,                0.95071,                0.93341,                0.96711,                  0.703,                0.69253,                0.50425,                 1.0789,              0.0013545,              0.0013545,              0.0013545
                    328,                0.92215,                0.72744,                 1.3023,                0.96635,                0.92643,                0.96979,                0.70392,                0.68748,                0.49551,                 1.0852,              0.0013525,              0.0013525,              0.0013525
                    329,                0.90029,                0.64636,                 1.2259,                0.96635,                0.92643,                0.96979,                0.70392,                0.68748,                0.49551,                 1.0852,              0.0013506,              0.0013506,              0.0013506
                    330,                0.99813,                0.74605,                  1.314,                0.96379,                0.93548,                0.96868,                0.69383,                0.73534,                0.53024,                 1.1313,              0.0013486,              0.0013486,              0.0013486
                    331,                 1.0316,                0.74338,                 1.3423,                0.96446,                0.93548,                0.96898,                 0.7086,                 0.6729,                0.53094,                 1.1074,              0.0013466,              0.0013466,              0.0013466
                    332,                0.95559,                 0.7108,                  1.222,                0.96401,                0.93548,                0.97568,                0.74061,                0.71107,                0.53112,                 1.1191,              0.0013446,              0.0013446,              0.0013446
                    333,                0.95793,                0.71117,                 1.3276,                0.96401,                0.93548,                0.97568,                0.74061,                0.71107,                0.53112,                 1.1191,              0.0013426,              0.0013426,              0.0013426
                    334,                0.95419,                0.79601,                 1.2633,                0.96306,                0.93548,                0.97886,                0.78646,                0.61433,                0.50385,                 1.0751,              0.0013407,              0.0013407,              0.0013407
                    335,                0.94401,                0.70314,                 1.2771,                0.96394,                0.93548,                0.98257,                0.78187,                0.62655,                0.50238,                 1.0661,              0.0013387,              0.0013387,              0.0013387
                    336,                 1.0223,                0.70704,                 1.2832,                 0.9643,                0.93548,                0.98563,                0.76387,                  0.636,                0.50038,                 1.0562,              0.0013367,              0.0013367,              0.0013367
                    337,                0.93164,                0.69554,                 1.2724,                 0.9643,                0.93548,                0.98563,                0.76387,                  0.636,                0.50038,                 1.0562,              0.0013347,              0.0013347,              0.0013347
                    338,                 0.9109,                0.68015,                 1.2951,                0.96361,                0.93548,                0.98729,                0.75096,                0.63344,                0.49267,                 1.0626,              0.0013327,              0.0013327,              0.0013327
                    339,                0.91971,                 0.7325,                 1.3221,                0.95293,                0.97957,                0.98904,                0.72533,                0.76625,                0.51999,                 1.1268,              0.0013308,              0.0013308,              0.0013308
                    340,                 1.0253,                0.75041,                 1.2698,                0.92338,                0.98387,                0.98791,                 0.7205,                0.78344,                0.51861,                 1.1523,              0.0013288,              0.0013288,              0.0013288
                    341,                 1.0029,                0.79064,                 1.3317,                0.92338,                0.98387,                0.98791,                 0.7205,                0.78344,                0.51861,                 1.1523,              0.0013268,              0.0013268,              0.0013268
                    342,                0.92487,                0.76733,                 1.2854,                0.96207,                0.93548,                0.98598,                0.75473,                0.70848,                0.51209,                 1.1476,              0.0013248,              0.0013248,              0.0013248
                    343,                0.89541,                0.64987,                 1.2315,                0.95081,                 0.9353,                0.96504,                0.74385,                0.76115,                0.75833,                 1.2152,              0.0013228,              0.0013228,              0.0013228
                    344,                0.91625,                0.69556,                  1.241,                 0.9507,                0.93303,                0.96875,                0.74467,                0.73127,                0.67192,                 1.1831,              0.0013209,              0.0013209,              0.0013209
                    345,                 1.0174,                0.73439,                 1.3793,                 0.9507,                0.93303,                0.96875,                0.74467,                0.73127,                0.67192,                 1.1831,              0.0013189,              0.0013189,              0.0013189
                    346,                0.97814,                0.70529,                 1.2928,                0.94512,                0.91935,                0.97679,                0.74907,                0.64187,                0.50005,                 1.0891,              0.0013169,              0.0013169,              0.0013169
                    347,                 1.1019,                0.79431,                 1.3132,                0.95979,                0.91935,                0.98129,                0.75688,                0.62947,                0.47611,                  1.048,              0.0013149,              0.0013149,              0.0013149
                    348,                0.86742,                0.69547,                 1.2716,                 0.9955,                0.91935,                 0.9843,                0.77589,                0.63691,                0.47402,                 1.0573,              0.0013129,              0.0013129,              0.0013129
                    349,                0.93922,                0.65626,                 1.3015,                 0.9955,                0.91935,                 0.9843,                0.77589,                0.63691,                0.47402,                 1.0573,               0.001311,               0.001311,               0.001311
                    350,                0.99356,                0.71491,                 1.2043,                      1,                0.93208,                  0.987,                0.77578,                0.63072,                0.46686,                 1.0565,               0.001309,               0.001309,               0.001309
                    351,                0.97711,                0.76676,                 1.2942,                 0.9802,                0.95161,                0.98572,                0.78114,                0.60527,                0.47998,                 1.0562,               0.001307,               0.001307,               0.001307
                    352,                0.93377,                0.71048,                 1.2732,                0.99766,                0.91935,                0.98397,                0.79435,                0.56427,                0.47485,                 1.0459,               0.001305,               0.001305,               0.001305
                    353,                0.88548,                0.65978,                 1.2697,                0.99766,                0.91935,                0.98397,                0.79435,                0.56427,                0.47485,                 1.0459,               0.001303,               0.001303,               0.001303
                    354,                0.95338,                0.69002,                 1.2983,                      1,                0.93123,                0.96548,                0.80086,                0.55602,                0.46948,                 1.0467,              0.0013011,              0.0013011,              0.0013011
                    355,                0.92086,                0.71824,                 1.3096,                      1,                0.93348,                0.97557,                0.80534,                0.57264,                 0.4743,                 1.0594,              0.0012991,              0.0012991,              0.0012991
                    356,                0.90147,                0.66522,                 1.2384,                0.99878,                0.93548,                0.97711,                0.79401,                0.60034,                0.47562,                 1.0645,              0.0012971,              0.0012971,              0.0012971
                    357,                0.88125,                0.69786,                   1.19,                0.99878,                0.93548,                0.97711,                0.79401,                0.60034,                0.47562,                 1.0645,              0.0012951,              0.0012951,              0.0012951
                    358,                 0.9122,                0.64644,                  1.229,                0.99789,                0.93548,                0.98076,                0.77063,                0.63311,                0.47873,                 1.0659,              0.0012931,              0.0012931,              0.0012931
                    359,                0.98165,                0.70407,                 1.2498,                0.99771,                0.93548,                 0.9891,                0.78395,                0.61854,                0.48194,                 1.0391,              0.0012912,              0.0012912,              0.0012912
                    360,                0.84341,                0.62709,                 1.1784,                0.99743,                0.93548,                0.98726,                0.79377,                0.63438,                 0.4961,                 1.0412,              0.0012892,              0.0012892,              0.0012892
                    361,                0.88041,                 0.7043,                 1.2714,                0.99743,                0.93548,                0.98726,                0.79377,                0.63438,                 0.4961,                 1.0412,              0.0012872,              0.0012872,              0.0012872
                    362,                 0.8568,                0.68153,                 1.2641,                0.99765,                0.93548,                0.98306,                0.79088,                0.66207,                0.51483,                 1.0586,              0.0012852,              0.0012852,              0.0012852
                    363,                0.98868,                0.73998,                 1.3154,                0.99806,                0.93548,                0.97964,                0.79133,                 0.6468,                0.52058,                 1.0627,              0.0012832,              0.0012832,              0.0012832
                    364,                0.93327,                0.66845,                 1.2719,                0.99758,                0.93548,                0.97891,                0.78428,                0.63043,                0.51095,                 1.0659,              0.0012813,              0.0012813,              0.0012813
                    365,                0.94436,                0.65832,                 1.2259,                0.99758,                0.93548,                0.97891,                0.78428,                0.63043,                0.51095,                 1.0659,              0.0012793,              0.0012793,              0.0012793
                    366,                 0.9821,                0.73644,                 1.2951,                0.99635,                0.93548,                0.98151,                0.73625,                0.67021,                0.52053,                 1.0671,              0.0012773,              0.0012773,              0.0012773
                    367,                0.93938,                0.62969,                 1.2087,                      1,                0.93164,                0.98552,                0.71375,                0.65577,                0.51016,                 1.0529,              0.0012753,              0.0012753,              0.0012753
                    368,                0.85418,                0.64042,                 1.2296,                0.96736,                0.95618,                  0.986,                0.70661,                0.65261,                0.52899,                 1.0706,              0.0012733,              0.0012733,              0.0012733
                    369,                0.93244,                0.66789,                 1.1847,                0.96736,                0.95618,                  0.986,                0.70661,                0.65261,                0.52899,                 1.0706,              0.0012714,              0.0012714,              0.0012714
                    370,                0.94458,                0.67883,                 1.2299,                0.95974,                0.95161,                0.98359,                0.74891,                  0.623,                0.51809,                 1.0804,              0.0012694,              0.0012694,              0.0012694
                    371,                0.88059,                0.68929,                 1.2849,                0.99761,                0.91935,                0.97921,                0.76344,                0.58994,                0.51061,                 1.0686,              0.0012674,              0.0012674,              0.0012674
                    372,                0.92447,                0.70219,                 1.2354,                0.93726,                0.96387,                0.98104,                0.78205,                 0.5774,                0.48815,                  1.055,              0.0012654,              0.0012654,              0.0012654
                    373,                 1.0135,                0.75989,                 1.2491,                0.93726,                0.96387,                0.98104,                0.78205,                 0.5774,                0.48815,                  1.055,              0.0012634,              0.0012634,              0.0012634
                    374,                0.81265,                0.59786,                 1.1551,                0.96355,                0.96774,                0.98669,                0.78709,                0.57499,                0.47818,                 1.0425,              0.0012615,              0.0012615,              0.0012615
                    375,                0.86252,                0.63433,                 1.2313,                0.98335,                0.93548,                0.98646,                0.78863,                0.62748,                0.48403,                 1.0621,              0.0012595,              0.0012595,              0.0012595
                    376,                  0.833,                0.60574,                 1.1692,                0.98327,                0.94786,                0.98745,                0.80261,                0.64729,                0.48205,                 1.0711,              0.0012575,              0.0012575,              0.0012575
                    377,                 1.0185,                0.68822,                 1.2441,                0.98327,                0.94786,                0.98745,                0.80261,                0.64729,                0.48205,                 1.0711,              0.0012555,              0.0012555,              0.0012555
                    378,                0.94838,                0.64312,                 1.2295,                0.98352,                0.96254,                0.98906,                0.82331,                0.57031,                0.46157,                 1.0462,              0.0012535,              0.0012535,              0.0012535
                    379,                0.82439,                0.61725,                 1.2023,                0.96796,                0.97474,                0.99118,                0.81263,                0.64591,                0.45738,                 1.0799,              0.0012516,              0.0012516,              0.0012516
                    380,                0.85211,                0.63044,                  1.207,                0.96812,                0.97964,                0.99203,                0.77431,                 0.7073,                0.49097,                 1.1338,              0.0012496,              0.0012496,              0.0012496
                    381,                 1.0378,                0.70044,                 1.3363,                0.96812,                0.97964,                0.99203,                0.77431,                 0.7073,                0.49097,                 1.1338,              0.0012476,              0.0012476,              0.0012476
                    382,                0.97919,                0.75141,                 1.2465,                0.99818,                0.91935,                0.98899,                0.77289,                0.67103,                0.49869,                 1.1126,              0.0012456,              0.0012456,              0.0012456
                    383,                0.86826,                0.63669,                 1.2635,                0.93519,                0.98387,                0.99033,                0.79538,                0.58859,                0.47063,                 1.0643,              0.0012436,              0.0012436,              0.0012436
                    384,                0.85989,                 0.6143,                 1.2046,                0.97343,                0.98387,                0.99246,                0.79578,                0.59686,                0.46114,                 1.0593,              0.0012417,              0.0012417,              0.0012417
                    385,                0.88327,                 0.5977,                 1.2467,                0.97343,                0.98387,                0.99246,                0.79578,                0.59686,                0.46114,                 1.0593,              0.0012397,              0.0012397,              0.0012397
                    386,                0.88904,                0.68154,                 1.2639,                0.98825,                0.96774,                0.99206,                0.77111,                0.59521,                0.45429,                 1.0521,              0.0012377,              0.0012377,              0.0012377
                    387,                0.87339,                0.60426,                 1.1324,                0.98342,                0.95693,                0.98993,                0.80067,                0.59373,                0.45198,                 1.0483,              0.0012357,              0.0012357,              0.0012357
                    388,                0.89291,                0.65173,                 1.1714,                0.99803,                0.93548,                 0.9907,                0.80187,                0.62787,                 0.4722,                 1.0697,              0.0012337,              0.0012337,              0.0012337
                    389,                0.94205,                 0.6757,                 1.3083,                0.99803,                0.93548,                 0.9907,                0.80187,                0.62787,                 0.4722,                 1.0697,              0.0012318,              0.0012318,              0.0012318
                    390,                0.91771,                0.66464,                 1.2623,                0.99956,                0.93548,                0.98964,                 0.7943,                0.66633,                0.50209,                 1.0868,              0.0012298,              0.0012298,              0.0012298
                    391,                0.94952,                0.69023,                 1.2304,                      1,                0.94894,                  0.992,                0.81352,                0.63608,                0.49644,                 1.0461,              0.0012278,              0.0012278,              0.0012278
                    392,                0.96464,                0.68039,                 1.2291,                      1,                0.95086,                0.98238,                0.81364,                0.63012,                0.48447,                 1.0504,              0.0012258,              0.0012258,              0.0012258
                    393,                0.99569,                0.71833,                 1.2974,                      1,                0.95086,                0.98238,                0.81364,                0.63012,                0.48447,                 1.0504,              0.0012238,              0.0012238,              0.0012238
                    394,                0.99121,                 0.7197,                 1.1798,                      1,                0.95046,                0.98748,                0.79528,                0.65708,                0.46401,                 1.0678,              0.0012219,              0.0012219,              0.0012219
                    395,                0.87048,                0.62974,                 1.1928,                      1,                0.94935,                0.98334,                0.79681,                0.65783,                0.45078,                 1.0457,              0.0012199,              0.0012199,              0.0012199
                    396,                0.93586,                0.70347,                 1.3012,                 0.9981,                0.93548,                0.98907,                0.80256,                0.62227,                  0.439,                 1.0271,              0.0012179,              0.0012179,              0.0012179
                    397,                0.95844,                 0.6495,                  1.163,                 0.9981,                0.93548,                0.98907,                0.80256,                0.62227,                  0.439,                 1.0271,              0.0012159,              0.0012159,              0.0012159
                    398,                0.93818,                 0.6561,                 1.2433,                0.99647,                0.93548,                0.99223,                0.82284,                0.58546,                0.45072,                 1.0186,              0.0012139,              0.0012139,              0.0012139
                    399,                0.85046,                0.59547,                 1.1711,                0.96771,                0.96691,                0.99235,                 0.7834,                0.73699,                 0.4973,                 1.1077,               0.001212,               0.001212,               0.001212
                    400,                0.85038,                 0.6349,                 1.2359,                0.98354,                0.96372,                0.99227,                 0.7764,                0.73637,                 0.4974,                 1.1004,                0.00121,                0.00121,                0.00121
                    401,                  0.893,                 0.6475,                 1.2058,                0.98354,                0.96372,                0.99227,                 0.7764,                0.73637,                 0.4974,                 1.1004,               0.001208,               0.001208,               0.001208
                    402,                0.91352,                0.63457,                 1.1405,                0.96814,                0.98022,                0.99311,                0.80393,                 0.6342,                0.47842,                 1.0422,               0.001206,               0.001206,               0.001206
                    403,                0.85009,                0.59325,                 1.1536,                0.96552,                      1,                 0.9939,                0.80268,                0.57297,                0.43402,                 1.0164,               0.001204,               0.001204,               0.001204
                    404,                0.95992,                0.66956,                 1.2614,                0.96802,                      1,                 0.9942,                0.78739,                0.59248,                0.44153,                 1.0283,              0.0012021,              0.0012021,              0.0012021
                    405,                0.92904,                0.65289,                 1.2055,                0.96802,                      1,                 0.9942,                0.78739,                0.59248,                0.44153,                 1.0283,              0.0012001,              0.0012001,              0.0012001
