                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.7064,                 3.2329,                 3.2901,                0.01455,                0.27419,                0.01026,                0.00341,                 2.4926,                 10.226,                 3.1345,              0.0019347,              0.0019347,              0.0019347
                     35,                 2.8163,                 3.1104,                 3.2489,                0.01268,                0.35484,                0.01043,                0.00389,                 2.3747,                 6.1795,                 3.0838,              0.0019327,              0.0019327,              0.0019327
                     36,                 2.8819,                 3.0424,                 3.1726,                0.02087,                0.24194,                0.00964,                0.00364,                 2.2597,                 7.7456,                 3.0676,              0.0019307,              0.0019307,              0.0019307
                     37,                 2.7221,                 3.2034,                 3.1768,                0.02087,                0.24194,                0.00964,                0.00364,                 2.2597,                 7.7456,                 3.0676,              0.0019287,              0.0019287,              0.0019287
                     38,                 2.6661,                 2.9911,                 3.0174,                0.02267,                0.17742,                0.01361,                0.00429,                 2.4072,                 12.698,                 3.0823,              0.0019267,              0.0019267,              0.0019267
                     39,                 2.8502,                 3.2262,                 3.0637,                0.03292,                0.16129,                0.01832,                0.00351,                 3.1138,                 15.636,                  3.853,              0.0019248,              0.0019248,              0.0019248
                     40,                 2.6968,                 3.2433,                 3.2403,                0.05222,                 0.1129,                0.01965,                0.00389,                 3.2429,                 10.784,                 4.0328,              0.0019228,              0.0019228,              0.0019228
                     41,                 2.6348,                 2.9947,                 3.1853,                0.05222,                 0.1129,                0.01965,                0.00389,                 3.2429,                 10.784,                 4.0328,              0.0019208,              0.0019208,              0.0019208
                     42,                 2.4833,                 2.9306,                  3.042,                0.06565,                0.04839,                0.02224,                0.00657,                 2.5865,                  5.123,                 3.1884,              0.0019188,              0.0019188,              0.0019188
                     43,                 2.5871,                 2.9951,                 2.9821,                0.03573,                0.12903,                0.01724,                0.00614,                 2.5336,                 5.5742,                 3.1408,              0.0019168,              0.0019168,              0.0019168
                     44,                 2.5132,                 2.7997,                 2.9283,                0.03001,                0.14516,                0.01086,                0.00432,                 2.4538,                 5.6998,                  3.107,              0.0019149,              0.0019149,              0.0019149
                     45,                 2.4801,                  2.652,                 2.8838,                0.03001,                0.14516,                0.01086,                0.00432,                 2.4538,                 5.6998,                  3.107,              0.0019129,              0.0019129,              0.0019129
                     46,                 2.8096,                 3.0701,                 3.0621,                0.02825,                0.14516,                0.01173,                0.00471,                 2.3881,                 6.8929,                 3.0642,              0.0019109,              0.0019109,              0.0019109
                     47,                 2.6053,                  3.056,                 3.0696,                0.04062,                0.32029,                0.01888,                0.00673,                 2.2781,                 6.7652,                 3.0377,              0.0019089,              0.0019089,              0.0019089
                     48,                 2.6427,                 2.8912,                 2.9872,                 0.0187,                0.14516,                0.01188,                0.00476,                 2.3241,                 5.5863,                 3.0925,              0.0019069,              0.0019069,              0.0019069
